[Thu Jun 10 09:15:43.969 2010] 0.000 sec [scan/2/ext 192 (0,25)] [performance_core]
[Thu Jun 10 09:45:36.010 2010] 0.014 sec [all/2/ext 55 (0,25)] [performance_core] performance
[Thu Jun 10 10:03:07.126 2010] 0.000 sec [all/2/ext 55 (0,25)] [performance_core] performance
[Thu Jun 10 11:45:30.986 2010] 0.017 sec [all/2/ext 45 (0,25)] [performance_core] somewhat
[Thu Jun 10 11:46:15.145 2010] 0.705 sec [all/2/ext 45 (0,25)] [performance_core] somewhat damaged
[Thu Jun 10 11:46:24.975 2010] 0.012 sec [all/2/ext 141 (0,25)] [performance_core] terrible
[Thu Jun 10 11:46:43.018 2010] 0.000 sec [all/2/ext 1 (0,25)] [performance_core] reptilian
[Thu Jun 10 12:04:05.012 2010] 0.000 sec [scan/2/ext 192 (100,25)] [performance_core]
[Thu Jun 10 14:16:26.139 2010] 0.000 sec [scan/2/ext 192 (0,25)] [performance_core]
[Thu Jun 10 16:58:39.055 2010] 0.013 sec [all/2/ext 141 (125,25)] [performance_core] terrible
[Thu Jun 10 16:58:46.763 2010] 0.000 sec [all/2/ext 141 (25,25)] [performance_core] terrible
[Thu Jun 10 16:58:49.724 2010] 0.000 sec [all/2/ext 141 (0,25)] [performance_core] terrible
[Thu Jun 10 16:59:05.252 2010] 0.000 sec [scan/2/ext 192 (0,25)] [performance_core]
[Thu Jun 10 16:59:36.668 2010] 0.000 sec [all/2/ext 2 (0,25)] [performance_core] columbiahalle
[Thu Jun 10 17:00:21.530 2010] 0.000 sec [scan/2/rel 1 (0,20)] [performance_core]
[Thu Jun 10 17:00:34.409 2010] 0.000 sec [scan/2/ext 192 (0,25)] [performance_core]
[Thu Jun 10 17:26:30.980 2010] 0.057 sec [scan/2/ext 194 (0,25)] [performance_core]
[Thu Jun 10 17:26:41.170 2010] 0.013 sec [all/2/ext 142 (0,25)] [performance_core] terrible
[Thu Jun 10 17:28:48.180 2010] 0.000 sec [scan/2/ext 194 (0,25)] [performance_core]
[Thu Jun 10 17:29:11.574 2010] 0.000 sec [scan/2/ext 194 (175,25)] [performance_core]
[Thu Jun 10 17:29:21.188 2010] 0.000 sec [scan/2/ext 194 (150,25)] [performance_core]
[Thu Jun 10 21:33:20.289 2010] 0.000 sec [scan/2/ext 194 (0,25)] [performance_core]
[Fri Jun 11 02:09:50.768 2010] 0.017 sec [scan/2/ext 194 (0,25)] [performance_core]
[Fri Jun 11 08:30:59.016 2010] 0.932 sec [all/2/ext 0 (0,25)] [performance_core] eddie vedder
[Fri Jun 11 08:30:59.522 2010] 0.000 sec [all/2/ext 0 (0,25)] [performance_core] eddie vedder
[Fri Jun 11 08:31:05.453 2010] 0.000 sec [all/2/ext 0 (0,25)] [performance_core] rjd2
[Fri Jun 11 08:31:13.406 2010] 0.017 sec [all/2/ext 0 (0,25)] [performance_core] jurassic 5
[Fri Jun 11 12:30:30.175 2010] 0.000 sec [scan/2/ext 194 (150,25)] [performance_core]
[Fri Jun 11 14:03:12.912 2010] 0.025 sec [scan/2/ext 194 (50,25)] [performance_core]
[Fri Jun 11 14:45:36.444 2010] 0.000 sec [scan/2/ext 194 (0,25)] [performance_core]
[Fri Jun 11 16:33:32.453 2010] 0.000 sec [scan/2/ext 194 (0,25)] [performance_core]
[Fri Jun 11 17:21:14.502 2010] 0.896 sec [scan/2/ext 194 (25,25)] [performance_core]
[Fri Jun 11 18:17:17.120 2010] 0.000 sec [scan/2/ext 194 (0,25)] [performance_core]
[Fri Jun 11 20:02:58.395 2010] 0.000 sec [scan/2/ext 194 (0,25)] [performance_core]
[Fri Jun 11 22:45:36.547 2010] 0.000 sec [scan/2/ext 194 (0,25)] [performance_core]
[Sat Jun 12 11:01:58.756 2010] 0.000 sec [scan/2/ext 194 (75,25)] [performance_core]
[Sat Jun 12 11:54:31.585 2010] 0.000 sec [scan/2/ext 194 (175,25)] [performance_core]
[Sat Jun 12 13:44:41.095 2010] 0.000 sec [scan/2/ext 194 (125,25)] [performance_core]
[Sun Jun 13 18:43:55.772 2010] 1.016 sec [scan/2/ext 194 (75,25)] [performance_core]
[Sun Jun 13 19:41:34.183 2010] 0.000 sec [scan/2/ext 194 (0,25)] [performance_core]
[Mon Jun 14 12:42:51.507 2010] 0.060 sec [scan/2/ext 194 (150,25)] [performance_core]
[Mon Jun 14 13:12:22.129 2010] 0.000 sec [scan/2/ext 194 (0,25)] [performance_core]
[Mon Jun 14 15:18:17.323 2010] 0.000 sec [scan/2/ext 194 (0,25)] [performance_core]
[Tue Jun 15 04:45:09.237 2010] 0.000 sec [scan/2/ext 194 (0,25)] [performance_core]
[Tue Jun 15 04:45:10.160 2010] 0.000 sec [scan/2/ext 194 (0,25)] [performance_core]
[Tue Jun 15 07:33:20.160 2010] 0.053 sec [scan/2/ext 194 (50,25)] [performance_core]
[Tue Jun 15 13:42:11.908 2010] 0.000 sec [scan/2/ext 194 (125,25)] [performance_core]
[Tue Jun 15 14:43:59.543 2010] 0.000 sec [scan/2/ext 194 (175,25)] [performance_core]
[Tue Jun 15 15:33:38.650 2010] 0.000 sec [scan/2/ext 194 (175,25)] [performance_core]
[Wed Jun 16 15:52:58.112 2010] 0.038 sec [all/2/ext 46 (0,25)] [performance_core] somewhat
[Wed Jun 16 16:34:35.271 2010] 0.000 sec [all/2/ext 46 (0,25)] [performance_core] somewhat
[Wed Jun 16 16:34:41.191 2010] 0.035 sec [all/2/ext 1 (0,25)] [performance_core] aaron north
[Thu Jun 17 04:51:34.857 2010] 0.000 sec [scan/2/ext 194 (0,25)] [performance_core]
[Thu Jun 17 11:07:24.819 2010] 0.000 sec [all/2/ext 46 (0,25)] [performance_core] somewhat
[Fri Jun 18 10:11:19.503 2010] 0.052 sec [scan/2/ext 194 (150,25)] [performance_core]
[Fri Jun 18 10:59:11.088 2010] 0.000 sec [scan/2/ext 194 (100,25)] [performance_core]
[Fri Jun 18 12:19:11.143 2010] 0.048 sec [all/2/ext 46 (0,25)] [performance_core] somewhat
[Fri Jun 18 14:05:20.163 2010] 0.000 sec [scan/2/ext 194 (100,25)] [performance_core]
[Fri Jun 18 19:17:29.160 2010] 0.000 sec [scan/2/ext 194 (0,25)] [performance_core]
[Sat Jun 19 12:12:06.626 2010] 0.039 sec [scan/2/ext 194 (50,25)] [performance_core]
[Sat Jun 19 13:17:23.247 2010] 0.000 sec [scan/2/ext 194 (25,25)] [performance_core]
[Sat Jun 19 15:33:00.256 2010] 0.000 sec [scan/2/ext 194 (0,25)] [performance_core]
[Sat Jun 19 17:25:11.403 2010] 0.000 sec [scan/2/ext 194 (0,25)] [performance_core]
[Sun Jun 20 07:52:09.027 2010] 0.017 sec [scan/2/ext 194 (0,25)] [performance_core]
[Mon Jun 21 00:08:06.388 2010] 0.065 sec [all/2/ext 46 (0,25)] [performance_core] somewhat
[Mon Jun 21 00:19:31.304 2010] 0.000 sec [scan/2/ext 194 (0,25)] [performance_core]
[Mon Jun 21 00:23:06.046 2010] 0.000 sec [all/2/ext 0 (0,25)] [performance_core] garson
[Mon Jun 21 00:23:12.134 2010] 0.011 sec [all/2/ext 0 (0,25)] [performance_core] mike garson
[Mon Jun 21 00:23:18.298 2010] 0.065 sec [all/2/ext 1 (0,25)] [performance_core] 2009-09-10
[Mon Jun 21 00:23:23.049 2010] 0.000 sec [all/2/ext 78 (0,25)] [performance_core] 2009
[Mon Jun 21 11:13:42.120 2010] 0.009 sec [scan/2/ext 194 (150,25)] [performance_core]
[Mon Jun 21 12:47:40.634 2010] 0.027 sec [all/2/ext 8 (0,25)] [performance_core] banged
[Mon Jun 21 14:50:42.990 2010] 0.000 sec [scan/2/ext 194 (100,25)] [performance_core]
[Mon Jun 21 15:35:13.860 2010] 0.000 sec [scan/2/ext 194 (75,25)] [performance_core]
[Mon Jun 21 16:31:02.944 2010] 0.000 sec [scan/2/ext 194 (0,25)] [performance_core]
[Tue Jun 22 06:13:22.280 2010] 0.008 sec [scan/2/ext 194 (25,25)] [performance_core]
[Tue Jun 22 12:42:28.274 2010] 0.012 sec [scan/2/ext 194 (0,25)] [performance_core]
[Tue Jun 22 13:21:07.100 2010] 0.000 sec [scan/2/ext 194 (0,25)] [performance_core]
[Tue Jun 22 15:05:46.333 2010] 0.000 sec [scan/2/ext 194 (125,25)] [performance_core]
[Tue Jun 22 18:49:35.417 2010] 0.000 sec [scan/2/ext 194 (175,25)] [performance_core]
[Wed Jun 23 01:11:54.608 2010] 0.050 sec [scan/2/ext 194 (125,25)] [performance_core]
[Wed Jun 23 20:36:35.613 2010] 0.055 sec [scan/2/ext 194 (0,25)] [performance_core]
[Wed Jun 23 23:15:55.335 2010] 0.036 sec [all/2/ext 46 (0,25)] [performance_core] somewhat
[Thu Jun 24 17:56:55.379 2010] 0.156 sec [scan/2/ext 194 (0,25)] [performance_core]
